doy,data,decessi per data notifica,decessi per data decesso
51,21/02/20,0,0
52,22/02/20,0,0
53,23/02/20,0,0
54,24/02/20,0,0
55,25/02/20,0,0
56,26/02/20,0,0
57,27/02/20,0,0
58,28/02/20,0,0
59,29/02/20,0,1
60,01/03/20,0,0
61,02/03/20,0,0
62,03/03/20,0,1
63,04/03/20,0,3
64,05/03/20,2,2
65,06/03/20,2,4
66,07/03/20,1,1
67,08/03/20,0,4
68,09/03/20,8,6
69,10/03/20,4,12
70,11/03/20,4,7
71,12/03/20,5,23
72,13/03/20,20,16
73,14/03/20,13,25
74,15/03/20,22,27
75,16/03/20,30,30
76,17/03/20,22,23
77,18/03/20,21,41
78,19/03/20,21,48
79,20/03/20,34,59
80,21/03/20,29,62
81,22/03/20,45,75
82,23/03/20,32,75
83,24/03/20,59,98
84,25/03/20,75,83
85,26/03/20,50,83
86,27/03/20,70,95
87,28/03/20,48,102
88,29/03/20,67,88
89,30/03/20,65,82
90,31/03/20,105,78
91,01/04/20,32,92
92,02/04/20,97,77
93,03/04/20,60,83
94,04/04/20,85,55
95,05/04/20,40,92
96,06/04/20,83,88
97,07/04/20,68,79
98,08/04/20,59,79
99,09/04/20,76,51
100,10/04/20,78,84
101,11/04/20,101,82
102,12/04/20,96,69
103,13/04/20,97,67
104,14/04/20,101,68
105,15/04/20,88,67
106,16/04/20,79,61
107,17/04/20,77,56
108,18/04/20,81,61
109,19/04/20,79,64
110,20/04/20,78,48
111,21/04/20,76,51
112,22/04/20,74,38
113,23/04/20,71,41
114,24/04/20,69,39
115,25/04/20,68,57
