01/01/20,,,,,,,,,,,
doy,data,PC,RE,MO,PR,BO,RN,FC,RA,FE,F-R
51,21/02/20,0,0,0,0,0,0,0,0,0,0
52,22/02/20,0,0,0,0,0,0,0,0,0,0
53,23/02/20,0,0,0,0,0,0,0,0,0,0
54,24/02/20,0,0,0,0,0,0,0,0,0,0
55,25/02/20,0,0,0,0,0,0,0,0,0,0
56,26/02/20,0,0,0,0,0,0,0,0,0,1
57,27/02/20,0,0,0,0,0,0,0,0,0,0
58,28/02/20,1,0,0,0,0,0,0,0,0,0
59,29/02/20,1,0,0,1,0,0,0,0,0,0
60,01/03/20,2,0,0,2,0,0,0,0,0,0
61,02/03/20,1,0,0,0,0,0,0,0,0,2
62,03/03/20,6,0,0,1,0,0,0,0,0,0
63,04/03/20,3,0,0,1,0,0,0,0,0,0
64,05/03/20,4,0,0,3,1,0,0,0,0,0
65,06/03/20,5,0,0,2,0,0,0,0,0,0
66,07/03/20,6,0,1,3,0,1,0,0,0,0
67,08/03/20,5,0,0,0,1,0,0,0,0,2
68,09/03/20,8,0,0,5,0,1,0,0,0,0
69,10/03/20,6,3,0,2,1,3,0,0,0,0
70,11/03/20,13,3,2,4,2,4,0,0,0,0
71,12/03/20,15,5,1,8,0,2,1,0,0,1
72,13/03/20,14,5,7,21,5,0,0,2,1,0
73,14/03/20,24,1,0,8,4,0,0,0,2,1
74,15/03/20,24,0,4,9,2,1,1,1,0,1
75,16/03/20,23,4,4,7,7,17,0,0,0,0
76,17/03/20,26,4,3,6,3,3,1,0,0,4
77,18/03/20,12,5,4,34,6,0,1,0,0,3
78,19/03/20,29,7,12,7,5,7,1,1,0,1
79,20/03/20,27,19,11,39,8,1,3,0,1,0
80,21/03/20,24,11,8,15,8,6,1,0,1,1
81,22/03/20,33,10,12,22,11,7,1,3,1,1
82,23/03/20,26,21,9,13,4,0,0,1,2,0
83,24/03/20,30,17,11,20,4,9,0,1,1,0
84,25/03/20,23,9,14,16,17,2,3,3,3,2
85,26/03/20,29,10,10,16,13,9,4,1,4,1
86,27/03/20,25,16,15,13,13,5,3,1,2,0
87,28/03/20,22,12,12,2,8,6,1,6,8,0
88,29/03/20,26,13,17,21,12,5,1,2,1,1
89,30/03/20,21,12,14,25,16,4,0,2,0,1
90,31/03/20,27,23,10,25,11,1,1,5,1,2
91,01/04/20,25,9,10,24,3,5,4,4,1,3
92,02/04/20,19,9,18,11,7,4,3,1,3,4
93,03/04/20,18,14,9,9,31,4,2,0,3,1
94,04/04/20,12,15,6,25,10,2,1,2,1,1
95,05/04/20,15,11,9,13,11,5,6,1,3,0
96,06/04/20,10,8,6,13,11,6,1,0,2,0
97,07/04/20,13,12,12,14,11,2,5,0,3,0
98,08/04/20,11,8,5,16,7,1,2,1,1,2
99,09/04/20,13,13,7,19,13,6,4,3,4,0
100,10/04/20,14,9,10,19,13,5,8,0,3,0
101,11/04/20,6,20,12,21,15,2,5,0,3,0
102,12/04/20,11,13,9,18,18,3,5,2,3,1
103,13/04/20,8,6,8,6,13,2,5,2,1,0
104,14/04/20,9,9,10,20,17,4,9,2,7,3
105,15/04/20,9,17,9,10,19,5,7,3,4,0
106,16/04/20,10,7,8,8,9,5,4,1,2,1
107,17/04/20,5,14,5,6,13,5,7,1,4,0
108,18/04/20,9,10,9,9,14,5,4,0,2,0
109,19/04/20,15,6,8,8,12,5,3,0,1,0
110,20/04/20,12,12,8,6,8,5,1,1,3,0
111,21/04/20,10,7,8,8,14,4,6,3,6,2
112,22/04/20,10,11,9,6,10,5,2,1,1,2
113,23/04/20,4,8,8,12,11,4,5,3,9,1
114,24/04/20,6,3,1,5,10,1,5,0,4,-1
115,25/04/20,9,4,3,9,11,1,3,1,3,0
116,26/04/20,5,8,2,6,10,1,2,1,3,1
117,27/04/20,10,4,2,7,12,0,5,0,5,0
118,28/04/20,10,10,3,3,8,5,2,0,0,0
119,29/04/20,8,4,3,8,7,5,2,2,1,0
120,30/04/20,5,11,4,6,4,1,4,1,3,0
121,01/05/20,6,2,2,6,10,0,2,1,0,-1
122,02/05/20,6,5,4,6,9,2,3,0,0,0
