doy,data,TO,AL,NO,CN,BI,VC,AT,VB,F-R
51,21/02/20,0,0,0,0,0,0,0,0,0
52,22/02/20,0,0,0,0,0,0,0,0,0
53,23/02/20,0,0,0,0,0,0,0,0,0
54,24/02/20,0,0,0,0,0,0,0,0,0
55,25/02/20,0,0,0,0,0,0,0,0,0
56,26/02/20,0,0,0,0,0,0,0,0,0
57,27/02/20,0,0,0,0,0,0,0,0,0
58,28/02/20,0,0,0,0,0,0,0,0,0
59,29/02/20,0,0,0,0,0,0,0,0,0
60,01/03/20,0,0,0,0,0,0,0,0,0
61,02/03/20,0,0,0,0,0,0,0,0,0
62,03/03/20,0,0,0,0,0,0,0,0,0
63,04/03/20,0,0,0,0,0,0,0,0,0
64,05/03/20,0,1,0,0,0,0,0,0,0
65,06/03/20,0,3,0,0,0,0,0,0,0
66,07/03/20,0,1,0,0,0,0,0,0,0
67,08/03/20,0,0,0,0,0,0,0,0,0
68,09/03/20,2,4,0,0,0,2,0,0,0
69,10/03/20,0,3,1,0,0,0,0,0,0
70,11/03/20,0,0,1,1,1,0,1,0,0
71,12/03/20,3,1,0,1,0,0,0,0,0
72,13/03/20,7,5,2,0,3,1,1,1,0
73,14/03/20,1,10,1,0,0,0,1,0,0
74,15/03/20,6,11,0,3,0,0,2,0,0
75,16/03/20,1,11,6,0,5,5,0,1,1
76,17/03/20,4,5,3,2,2,2,0,4,0
77,18/03/20,7,3,0,0,9,2,0,0,0
78,19/03/20,7,1,5,2,4,0,0,1,1
79,20/03/20,9,7,8,3,0,0,2,3,2
80,21/03/20,8,5,4,6,1,2,1,2,0
81,22/03/20,11,11,9,2,3,1,2,5,1
82,23/03/20,10,7,4,0,4,3,2,2,0
83,24/03/20,28,4,10,4,3,2,1,6,1
84,25/03/20,30,19,7,4,3,4,2,5,1
85,26/03/20,26,8,6,3,3,0,1,1,2
86,27/03/20,16,13,10,4,16,1,6,3,1
87,28/03/20,23,4,10,4,1,3,1,1,1
88,29/03/20,32,4,7,5,6,0,7,6,0
89,30/03/20,40,15,10,9,5,18,5,6,3
90,31/03/20,32,14,4,5,0,0,2,1,1
91,01/04/20,36,8,5,9,6,4,1,1,0
92,02/04/20,43,15,11,2,5,6,6,5,1
93,03/04/20,34,9,4,6,2,3,8,1,3
94,04/04/20,27,17,5,1,2,0,0,3,1
95,05/04/20,21,4,6,2,3,1,5,3,2
96,06/04/20,44,16,4,8,5,6,4,5,1
97,07/04/20,35,13,1,6,3,5,1,1,0
98,08/04/20,30,15,1,8,1,2,10,1,0
99,09/04/20,32,12,8,5,1,3,3,6,0
100,10/04/20,36,29,9,2,12,10,8,1,-3
101,11/04/20,48,21,8,9,2,3,4,2,1
102,12/04/20,38,23,7,8,6,5,6,5,1
103,13/04/20,36,14,8,7,8,6,2,6,1
104,14/04/20,40,23,9,6,6,7,2,0,0
105,15/04/20,42,24,7,8,3,6,3,1,1
106,16/04/20,43,11,4,4,3,6,8,3,0
107,17/04/20,30,14,6,9,4,12,2,1,0
108,18/04/20,24,17,7,14,3,1,6,6,0
109,19/04/20,49,11,2,3,3,4,3,0,2
110,20/04/20,38,17,3,6,1,5,4,0,0
111,21/04/20,43,5,4,4,2,2,7,2,2
112,22/04/20,33,17,1,11,4,3,2,3,0
113,23/04/20,32,7,8,11,1,3,7,0,1
114,24/04/20,38,9,5,7,0,3,4,3,0
115,25/04/20,42,5,5,6,0,2,4,1,1
116,26/04/20,41,7,2,6,0,0,0,0,0
117,27/04/20,29,9,2,4,2,2,5,1,0
118,28/04/20,25,12,4,0,4,1,6,1,0
119,29/04/20,34,10,3,6,1,1,10,0,1
120,30/04/20,32,4,1,7,1,2,5,0,2
121,01/05/20,8,2,5,4,1,0,3,2,0
122,02/05/20,14,4,1,6,1,1,6,0,0
