doy,data,AG,CL,CT,EN,ME,PA,RG,SR,TP
54,24/02/20,0,0,0,0,0,0,0,0,0
55,25/02/20,0,0,0,0,0,0,0,0,0
56,26/02/20,0,0,0,0,0,0,0,0,0
57,27/02/20,0,0,0,0,0,0,0,0,0
58,28/02/20,0,0,0,0,0,0,0,0,0
59,29/02/20,0,0,0,0,0,0,0,0,0
60,01/03/20,0,0,0,0,0,0,0,0,0
61,02/03/20,0,0,0,0,0,0,0,0,0
62,03/03/20,0,0,0,0,0,0,0,0,0
63,04/03/20,0,0,0,0,0,0,0,0,0
64,05/03/20,0,0,0,0,0,0,0,0,0
65,06/03/20,0,0,0,0,0,0,0,0,0
66,07/03/20,0,0,0,0,0,0,0,0,0
67,08/03/20,0,0,0,0,0,0,0,0,0
68,09/03/20,0,0,0,0,0,0,0,0,0
69,10/03/20,0,0,0,0,0,0,0,0,0
70,11/03/20,0,0,0,0,0,0,0,0,0
71,12/03/20,0,1,0,0,0,0,0,1,0
72,13/03/20,0,0,0,0,0,0,0,0,0
73,14/03/20,0,0,0,0,0,0,0,0,0
74,15/03/20,0,0,0,0,0,0,0,0,0
75,16/03/20,0,0,0,0,0,0,0,0,0
76,17/03/20,0,0,1,0,0,0,0,0,0
77,18/03/20,0,0,0,0,0,0,0,0,0
78,19/03/20,0,0,0,1,0,0,0,0,0
79,20/03/20,0,0,0,0,0,0,0,0,0
80,21/03/20,0,0,1,1,0,0,0,0,0
81,22/03/20,0,0,1,1,0,0,0,0,0
82,23/03/20,1,0,2,1,0,1,0,0,0
83,24/03/20,1,0,3,2,1,0,0,0,0
84,25/03/20,-1,1,5,0,0,0,0,0,0
85,26/03/20,0,0,3,0,3,1,0,1,0
86,27/03/20,0,2,2,1,2,0,0,0,0
87,28/03/20,0,0,3,2,8,3,0,0,1
88,29/03/20,0,0,2,1,1,1,2,1,0
89,30/03/20,0,0,4,1,2,1,0,3,0
90,31/03/20,0,0,2,0,1,2,0,0,0
91,01/04/20,0,1,4,0,1,0,0,0,1
92,02/04/20,0,0,4,0,1,0,0,0,0
93,03/04/20,0,1,1,0,3,2,1,0,0
94,04/04/20,0,1,4,2,1,1,0,0,1
95,05/04/20,0,0,4,0,0,0,0,1,0
96,06/04/20,0,1,3,2,1,0,0,0,0
97,07/04/20,0,0,2,0,0,0,0,0,0
98,08/04/20,0,0,3,1,1,0,0,2,1
99,09/04/20,0,0,1,0,3,1,0,0,0
100,10/04/20,0,1,0,3,3,2,1,0,0
101,11/04/20,0,0,0,0,2,2,1,1,0
102,12/04/20,0,1,4,1,1,2,0,0,0
103,13/04/20,0,0,2,1,0,4,0,1,0
104,14/04/20,0,0,2,0,1,0,0,0,1
105,15/04/20,0,0,2,1,1,1,0,1,0
106,16/04/20,0,0,0,2,1,1,0,2,0
107,17/04/20,0,0,0,1,0,0,0,2,0
108,18/04/20,0,0,3,0,2,0,0,1,0
109,19/04/20,0,0,2,0,1,1,0,0,0
110,20/04/20,0,0,1,0,0,1,1,0,0
111,21/04/20,0,0,2,0,1,0,0,0,0
112,22/04/20,0,0,0,0,1,0,0,1,0
113,23/04/20,0,0,3,0,1,0,0,1,0
114,24/04/20,0,0,1,0,1,0,0,3,0
115,25/04/20,0,1,1,3,0,0,0,1,0
116,26/04/20,0,0,1,0,2,1,0,0,0
117,27/04/20,0,0,1,0,1,0,0,1,0
118,28/04/20,0,0,1,0,0,0,0,0,0
119,29/04/20,0,0,0,0,0,0,0,0,0
120,30/04/20,0,0,2,0,1,0,0,0,0
121,01/05/20,0,0,1,1,0,0,0,0,0
122,02/05/20,0,0,2,0,1,0,0,0,0
