giorno;valore
2020-02-01;61
2020-02-02;77
2020-02-03;98
2020-02-04;67
2020-02-05;76
2020-02-06;70
2020-02-07;81
2020-02-08;69
2020-02-09;59
2020-02-10;67
2020-02-11;88
2020-02-12;61
2020-02-13;75
2020-02-14;79
2020-02-15;71
2020-02-16;56
2020-02-17;86
2020-02-18;85
2020-02-19;65
2020-02-20;74
2020-02-21;66
2020-02-22;77
2020-02-23;109
2020-02-24;130
2020-02-25;173
2020-02-26;137
2020-02-27;102
2020-02-28;160
2020-02-29;139
2020-03-01;137
2020-03-02;213
2020-03-03;257
2020-03-04;225
2020-03-05;284
2020-03-06;362
2020-03-07;360
2020-03-08;433
2020-03-09;462
2020-03-10;393
2020-03-11;538
2020-03-12;568
2020-03-13;694
2020-03-14;544
2020-03-15;525
2020-03-16;676
2020-03-17;611
2020-03-18;654
2020-03-19;565
2020-03-20;638
2020-03-21;552
2020-03-22;555
2020-03-23;558
2020-03-24;549
2020-03-25;483
2020-03-26;465
2020-03-27;408
2020-03-28;356
2020-03-29;324
2020-03-30;342
2020-03-31;258
2020-04-01;288
2020-04-02;227
2020-04-03;226
2020-04-04;186
2020-04-05;156
2020-04-06;214
2020-04-07;181
2020-04-08;174
2020-04-09;190
2020-04-10;136
2020-04-11;102
2020-04-12;113
2020-04-13;125
2020-04-14;158
2020-04-15;115
2020-04-16;124
2020-04-17;110
2020-04-18;101
2020-04-19;100
2020-04-20;125
2020-04-21;109
2020-04-22;103
2020-04-23;92
2020-04-24;86
2020-04-25;77
2020-04-26;69
2020-04-27;81
2020-04-28;78
2020-04-29;105
2020-04-30;90
2020-05-01;64
2020-05-02;76
2020-05-03;62
2020-05-04;67
2020-05-05;51
2020-05-06;74
2020-05-07;65
2020-05-08;53
2020-05-09;68
2020-05-10;44
2020-05-11;71
2020-05-12;64
2020-05-13;67
2020-05-14;44
2020-05-15;55
2020-05-16;50
2020-05-17;65
2020-05-18;66
2020-05-19;68
2020-05-20;53
2020-05-21;58
2020-05-22;62
2020-05-23;44
2020-05-24;42
2020-05-25;64
2020-05-26;50
2020-05-27;51
2020-05-28;57
2020-05-29;58
2020-05-30;57
2020-05-31;73
2020-06-01;82
2020-06-02;44
2020-06-03;61
2020-06-04;57
2020-06-05;63
2020-06-06;48
2020-06-07;40
2020-06-08;62
2020-06-09;37
2020-06-10;31
2020-06-11;40
2020-06-12;52
2020-06-13;35
2020-06-14;58
2020-06-15;61
2020-06-16;37
2020-06-17;65
2020-06-18;40
2020-06-19;45
2020-06-20;41
2020-06-21;54
2020-06-22;44
2020-06-23;53
2020-06-24;61
2020-06-25;59
2020-06-26;45
2020-06-27;65
2020-06-28;57
2020-06-29;78
