giorno;valore
2020-02-01;143
2020-02-02;126
2020-02-03;136
2020-02-04;146
2020-02-05;122
2020-02-06;111
2020-02-07;118
2020-02-08;120
2020-02-09;124
2020-02-10;135
2020-02-11;108
2020-02-12;123
2020-02-13;110
2020-02-14;119
2020-02-15;120
2020-02-16;110
2020-02-17;126
2020-02-18;115
2020-02-19;123
2020-02-20;131
2020-02-21;138
2020-02-22;140
2020-02-23;204
2020-02-24;230
2020-02-25;167
2020-02-26;170
2020-02-27;173
2020-02-28;152
2020-02-29;152
2020-03-01;152
2020-03-02;185
2020-03-03;191
2020-03-04;192
2020-03-05;226
2020-03-06;191
2020-03-07;194
2020-03-08;268
2020-03-09;275
2020-03-10;271
2020-03-11;314
2020-03-12;334
2020-03-13;394
2020-03-14;327
2020-03-15;404
2020-03-16;400
2020-03-17;425
2020-03-18;383
2020-03-19;346
2020-03-20;434
2020-03-21;421
2020-03-22;411
2020-03-23;471
2020-03-24;489
2020-03-25;525
2020-03-26;415
2020-03-27;390
2020-03-28;353
2020-03-29;308
2020-03-30;350
2020-03-31;319
2020-04-01;349
2020-04-02;363
2020-04-03;346
2020-04-04;279
2020-04-05;251
2020-04-06;342
2020-04-07;303
2020-04-08;301
2020-04-09;269
2020-04-10;307
2020-04-11;200
2020-04-12;222
2020-04-13;232
2020-04-14;273
2020-04-15;246
2020-04-16;242
2020-04-17;227
2020-04-18;207
2020-04-19;165
2020-04-20;215
2020-04-21;206
2020-04-22;187
2020-04-23;200
2020-04-24;184
2020-04-25;191
2020-04-26;152
2020-04-27;189
2020-04-28;151
2020-04-29;161
2020-04-30;169
2020-05-01;137
2020-05-02;148
2020-05-03;142
2020-05-04;161
2020-05-05;125
2020-05-06;155
2020-05-07;128
2020-05-08;155
2020-05-09;123
2020-05-10;127
2020-05-11;147
2020-05-12;136
2020-05-13;110
2020-05-14;106
2020-05-15;135
2020-05-16;119
2020-05-17;102
2020-05-18;113
2020-05-19;117
2020-05-20;116
2020-05-21;138
2020-05-22;133
2020-05-23;101
2020-05-24;107
2020-05-25;129
2020-05-26;103
2020-05-27;102
2020-05-28;118
2020-05-29;76
2020-05-30;109
2020-05-31;105
2020-06-01;108
2020-06-02;92
2020-06-03;100
2020-06-04;115
2020-06-05;91
2020-06-06;111
2020-06-07;92
2020-06-08;93
2020-06-09;97
2020-06-10;92
2020-06-11;83
2020-06-12;107
2020-06-13;110
2020-06-14;94
2020-06-15;105
2020-06-16;80
2020-06-17;97
2020-06-18;91
2020-06-19;96
2020-06-20;91
2020-06-21;77
2020-06-22;103
2020-06-23;118
2020-06-24;92
2020-06-25;108
2020-06-26;95
2020-06-27;100
2020-06-28;81
2020-06-29;106
